Ticker,Ignore
0KR.SG,TRUE
5J9.F,TRUE
8JH.F,TRUE
AAL,TRUE
ABB.ST,FALSE
ALFA.ST,FALSE
ALIV-SDB.ST,FALSE
APLE,TRUE
ASSA-B.ST,FALSE
AZA.ST,FALSE
AZN.ST,FALSE
BAC,TRUE
BALD-B.ST,FALSE
BOL.ST,FALSE
BONAV-B.ST,FALSE
BRK-B,TRUE
BURE.ST,FALSE
CAST.ST,FALSE
CLA-B.ST,FALSE
DIS,TRUE
EH,TRUE
ELUX-B.ST,FALSE
EMBRAC-B.ST,FALSE
EPR,TRUE
ERIC-B.ST,FALSE
FB,FALSE
HAL,TRUE
HM-B.ST,FALSE
HUSQ-A.ST,FALSE
INDU-C.ST,FALSE
INVE-B.ST,FALSE
JBLU,TRUE
KIND-SDB.ST,FALSE
KINV-B.ST,FALSE
KO,TRUE
LUMI.ST,FALSE
LUND-B.ST,FALSE
MCD,TRUE
MPW,TRUE
MRO,TRUE
MSFT,FALSE
NDA-SE.ST,FALSE
NIBE-B.ST,FALSE
NOKIA-SEK.ST,FALSE
O,TRUE
PEP,TRUE
PFE.ST,FALSE
PNDX-B.ST,FALSE
READ.ST,FALSE
SAND.ST,FALSE
SAS.ST,TRUE
SBB-B.ST,FALSE
SCA-B.ST,FALSE
SEB-A.ST,FALSE
SECU-B.ST,FALSE
SHB-B.ST,FALSE
SHOT.ST,TRUE
SINCH.ST,FALSE
SKA-B.ST,FALSE
SKF-B.ST,FALSE
SSAB-B.ST,FALSE
STAG,TRUE
SVOL-B.ST,FALSE
SWED-A.ST,FALSE
SWMA.ST,FALSE
Tel2-b.ST,FALSE
TELIA.ST,FALSE
VNV.ST,FALSE
VOLO-PREF.ST,TRUE
VOLV-B.ST,FALSE
WALL-B.ST,FALSE
XACTHDIV.ST,FALSE
ZAL.DE,FALSE